Job Title,Date,Company Name,Company Location,Job Skills ,Job Requeirments,links
Python Tech Lead,6 days ago,Eastern Enterprise -,"Cairo, Egypt ",Full TimeWork From Home,"You have 8+ years programming experience using Python | Solid hands-on experience of Design Pattern (5+ years work experience) | Proficiency with Python 3 (5+ years work experience) | To ensure success as a Sr. developer, you should have strong managerial skills, extensive experience with Python, and advanced problem-solving skills.  | Proficiency with Object Oriented Programming (5+ years work experience) | Proficiency with Docker and Kubernetes (3+ years work experience) | Proficiency of working with GitHub, Docker, Linux (3+ years work experience) | Proficiency of writing test cases (3+ years work experience with TDD) | Experience of developing and maintaining CI/CD pipelines | Experience of developing and maintaining micro-services | Experience of developing and maintaining API endpoints | Experience of developing and maintaining live product | Experience of using Numpy, Pandas, Jupyter Notebooks | Experience with Git-based versioning and Git workflows | Understanding of design patterns | Knowledge of Scrum techniques | Good experience in Team handing and mentoring | Fluency in English, both written and spoken, is required | Knowledge of Cloud (AWS Certified Cloud Practitioner Certified) | Knowledge of web frameworks (Flask/Django) | Experience of Data Engineering (3+ years production experience) | Experience of working with gRPC (1+ years production experience) | Experience of working with remote development teams | Knowledge and experience of DevOps concepts and tools ",https://wuzzuf.net/jobs/p/T2ShpO8q8U6v-Python-Tech-Lead-Eastern-Enterprise-Cairo-Egypt?o=1&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Backend Developer,5 days ago,CROCOSOFT -,"New Cairo, Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Flask · Git · Microservice Architecture · Relational Databases · Design Patterns · English · Information Technology (IT),Knowledge of algorithms and data structures and design patterns. | Strong analytical and reasoning skills with an ability to visualize processes and outcomes. Proficiency in troubleshooting software issues and debugging a large codebase. | A passion for solving problems and providing workable solutions. | Python. (OOP & functional programming paradigms & MicroService Architecture preferably Flask) | GIT using Github. ( basic commands and branching models) | Serverless (conceptual). | Proficiency in relational DB design and performance improvement. | English fluency is a must. ,https://wuzzuf.net/jobs/p/p1XrJUHO14AQ-Senior-Python-Backend-Developer-CROCOSOFT-Cairo-Egypt?o=2&l=sp&t=sj&a=python|search-v3|hpb
Technical Team Leader - Python /Django,7 days ago,Div Systems -,"Mokattam, Cairo, Egypt ",Manager · 4 - 8 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python Development Lead · Lead Python Engineer · Lead Software Development Engineer / Mentor · Python Developer · Engineering · Software Development · Python · Django Rest framework-,"Solid knowledge of the HTTP protocol-PostgreSQL- Django , Django Rest framework- Python Expert- Linux server environment-ideally Git- JavaScript -Database Knowledge (Microsoft SQL , Oracle) is preferred ",https://wuzzuf.net/jobs/p/GOv17Zf5vA7L-Technical-Team-Leader---Python-Django-Div-Systems-Cairo-Egypt?o=3&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Django Full Stack Developer,10 days ago,LINK Development -,"Maadi, Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Computer Science · Software Development · Python · Information Technology (IT) · javaScript · SQL · Software · Software Engineering,"Bachelor’s Degree in Software Engineering or equivalent major.  | Minimum 2 years solid experience as Python developer and extensive knowledge of Django stack. | Understanding of the threading limitations of Python, and multi-process architecture. | Familiarity with event-driven programming in Python. | Advanced experience with SQL and NoSQL databases, MYSQL is a must. | Practical knowledge in performance optimizations.  | Experience with microservices architecture and REST APIs. | Experience with docker/docker-compose. | Basic understanding of front-end technologies, such as JavaScript, HTML5, and CSS3. | Full Understanding of accessibility and security compliance. | Problem-solving, strong unit test, and debugging skills. | Practical knwoldage in Cloud (AWS/Azure). | Proven experience with Oddo is a plus. ",https://wuzzuf.net/jobs/p/LhOQuhDp9h6v-Senior-Python-Django-Full-Stack-Developer-LINK-Development-Cairo-Egypt?o=4&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Developer,17 days ago,Alpha Ralph -,"Alexandria, Egypt ",Experienced · 3 - 6 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Flask · Framework · Python · Software Engineering · Software Development,"Work experience as a Python Developer | Expertise in at least one popular Python framework (like Django, Flask or Pyramid) | Knowledge of object-relational mapping (ORM) | Familiarity with front-end technologies (like JavaScript and HTML5) | Team spirit | Good problem-solving skills | Problem solved and highly self dependent of delivering the solution ",https://wuzzuf.net/jobs/p/xXE6F4eEz4IQ-Senior-Python-Developer-Alpha-Ralph-Alexandria-Egypt?o=5&l=sp&t=sj&a=python|search-v3|hpb
Python Developer - Focused on Cloud Automation,19 days ago,GIG Tech   -,"Cairo, Egypt ",Experienced · 2+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Cloud · Bash · Linux · PowerShell · Python · qemu · terraform · ansible,"Bachelor degree or equivalent practical experience. | Experience with Python | Experience with multiple Operating Systems. (Linux, Windows,...) | Understanding the concepts of Cloud architecture. | Independent, responsible, able to work in a team | Experience in Terraform, Ansible, Bash, Powershell, Gitlab CI | Experience with cloud-init and QEMU/KVM | 2 years or more Python dev or DevOps Experience. | Experience in a UNIX environment. | Experience with cloud services. | Experience with Kubernetes is a plus ",https://wuzzuf.net/jobs/p/JntdnZqF2cBF-Python-Developer---Focused-on-Cloud-Automation-GIG-Tech-Cairo-Egypt?o=6&l=sp&t=sj&a=python|search-v3|hpb
Junior Python Developer,19 days ago,RDI -,"Dokki, Giza, Egypt ",Entry Level · 1 - 3 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Angular · Computer Science · Information Technology (IT) · SQL · MySQL · RESTful · JavaScript,"A bachelor’s degree in computer science, engineering, or related field | 1-3 years of related work experience; internship experience counts | Good database skills in a relational database (i.e. PostgresSQL, MySQL, etc.) | Knowledge of how to build and use RESTful APIs  | Experience with modern JavaScript frameworks such as Angular and React. | Fair knowledge of version control (like git). | Unit test and debugging skills is a plus. | Google Cloud Platform (GCP) knowledge is a plus. ",https://wuzzuf.net/jobs/p/cYyN5TKph4NI-Junior-Python-Developer-RDI-Giza-Egypt?o=7&l=sp&t=sj&a=python|search-v3|hpb
Python / Django Senior Developer,22 days ago,RDI -,"Dokki, Giza, Egypt ",Experienced · 3+ Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Django · Python · MySQL · PostgresSQL · Linux · Shell · Google Cloud Platform · Debugging,"3+ years of on-the-job software engineering experience with a proven track record of delivering highly scalable solutions rapidly. | Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.) | Knowledge of how to build and use RESTful APIs. | Experience with modern JavaScript frameworks such as React. | Proficiency using industry standard 3rd party tools such as Docker. | Strong knowledge of version control (git). | Experience deploying Python applications into production. | Understanding of the threading limitations of Python, and multi-process architecture. | Knowledge of user authentication and authorization between multiple systems, servers, and environments. | Strong unit test and debugging skills. | Google Cloud Platform (GCP) knowledge is a plus. | Experience working in Linux environments and basic shell is a plus. ",https://wuzzuf.net/jobs/p/kDgSs8TBSbkA-Python-Django-Senior-Developer-RDI-Giza-Egypt?o=8&l=sp&t=sj&a=python|search-v3|hpb
Senior Full Stack Developer (Python - Django & React),22 days ago,RDI -,"Dokki, Giza, Egypt ",Experienced · 5+ Yrs of Exp · Creative/Design/Art · IT/Software Development · Engineering - Telecom/Technology · Full Stack Development · React.js · Python · Django · RESTful APIs · HTML5 · Git,"5+ years of software development experience, and strong proficiency in JavaScript, React, Python and Django. | Bachelor’s degree in Computer Science, Computer Engineering, or equivalent experience | Solid database skills in a relational database (i.e. PostgresSQL, MySQL, etc.) | Knowledge of how to build and use with RESTful APIs. | Proficiency using industry standard 3rd party tools such as Docker. | Advanced Git/Github Knowledge. | Experience deploying Python applications into production. | Understanding of the threading limitations of Python, and multi-process architecture. | Knowledge of user authentication and authorization between multiple systems, servers, and environments. | Strong unit test and debugging skills. | Google Cloud Platform (GCP) knowledge is a plus. | Experience working in Linux environments and basic shell is a plus. | Thorough understanding of React.js and its core principles | Familiar with popular React.js workflows (such as Redux for state management) and the NextJS Framework. | Proficient understanding of cross-browser compatibility issues and ways to work around. | Good understanding of HTML5 and CSS3. | Knowledge of functional programming and object-oriented programming paradigms. | Understanding of server-side rendering and its benefits and use cases. | Familiar with build tools like (npm, webpack, gulp, bower and ...etc). | Experience with Agile development methodologies. | Dealing with API, Postman. | Familiarity working closely with UX and Visual Designers in a dynamic environment. | Good command of both written and spoken English.      ",https://wuzzuf.net/jobs/p/VpyvGeWu6uv3-Senior-Full-Stack-Developer-Python---Django-React-RDI-Giza-Egypt?o=9&l=sp&t=sj&a=python|search-v3|hpb
Senior Python Back-End Developer (Remote),24 days ago,skora tech -,"Cairo, Egypt ",Experienced · 2 - 7 Yrs of Exp · IT/Software Development · Engineering - Telecom/Technology · Python · Computer Science · MySQL · Software Development · Software Engineering · Docker · Java · AWS,"Python | Fast API | Linode | Docker | Pandas | Web Scraping | Kubernetes | Database (Mysql) | Java spring boot | Microservices | Plus: AI & data-driven technical know-how with python, data science, machine learning, deep learning, datasets and data visualization etc. ",https://wuzzuf.net/jobs/p/qdfMJXaNymZa-Senior-Python-Back-End-Developer-Remote-skora-tech-Cairo-Egypt?o=10&l=sp&t=sj&a=python|search-v3|hpb
